Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,ElectricityBill
16,23.0,2.0,6.0,1.0,0,10,Hyderabad,Hyderabad Electric Supply Company (HESCO),384,15022.05
19,22.0,2.0,3.0,1.0,0,5,Sargodha,Faisalabad Electric Supply Company (FESCO),488,20240.68
7,20.0,2.0,6.0,7.0,0,7,Abbottabad,Peshawar Electric Supply Company (PESCO),416,16598.51
7,22.0,3.0,21.0,1.0,0,6,Sialkot,Gujranwala Electric Power Company (GEPCO),475,19583.07
11,23.0,2.0,11.0,1.0,0,2,Sialkot,Gujranwala Electric Power Company (GEPCO),457,18672.52
13,22.0,0.0,18.0,1.0,0,6,Gwadar,Quetta Electric Supply Company (QESCO),471,19380.72
23,22.0,3.0,20.0,12.0,0,5,Lahore,Lahore Electric Supply Company (LESCO),755,35428.37
22,23.0,0.0,21.0,1.0,0,12,Lahore,Lahore Electric Supply Company (LESCO),492,20443.02
8,20.0,2.0,8.0,1.0,0,8,Lahore,Lahore Electric Supply Company (LESCO),546,23250.97
10,23.0,0.0,18.0,7.0,0,1,Sukkur,Sukkur Electric Power Company (SEPCO),578,24922.8
16,22.0,3.0,14.0,1.0,0,6,Faisalabad,Faisalabad Electric Supply Company (FESCO),450,18318.42
5,19.0,2.0,20.0,1.0,0,12,Sialkot,Gujranwala Electric Power Company (GEPCO),493,20493.61
10,23.0,1.0,22.0,1.0,0,9,Hyderabad,Hyderabad Electric Supply Company (HESCO),492,20443.02
11,22.0,3.0,19.0,1.0,0,11,Faisalabad,Faisalabad Electric Supply Company (FESCO),565,24243.62
18,22.0,1.0,3.0,12.0,0,7,Peshawar,Peshawar Electric Supply Company (PESCO),414,16497.34
21,23.0,3.0,5.0,1.0,0,12,Quetta,Quetta Electric Supply Company (QESCO),594,25815.62
9,21.0,3.0,6.0,1.0,0,2,Multan,Multan Electric Power Company (MEPCO),349,13344.04
17,22.0,0.0,3.0,1.0,0,4,Sukkur,Sukkur Electric Power Company (SEPCO),355,13631.7
12,23.0,0.0,18.0,1.0,0,3,Lahore,Lahore Electric Supply Company (LESCO),467,19178.38
13,22.0,1.0,21.0,12.0,0,11,Lahore,Lahore Electric Supply Company (LESCO),646,28802.9
23,23.0,0.0,15.0,1.0,0,8,Sialkot,Gujranwala Electric Power Company (GEPCO),476,19633.65
20,22.0,3.0,7.0,12.0,0,2,Gwadar,Quetta Electric Supply Company (QESCO),659,29551.89
23,22.0,2.0,14.0,1.0,0,7,Rawalpindi,Islamabad Electric Supply Company (IESCO),631,27938.67
9,22.0,3.0,3.0,1.0,0,4,Rawalpindi,Islamabad Electric Supply Company (IESCO),395,15549.42
19,22.0,2.0,11.0,1.0,0,3,Peshawar,Peshawar Electric Supply Company (PESCO),480,19836.0
19,23.0,0.0,21.0,1.0,0,12,Quetta,Quetta Electric Supply Company (QESCO),678,30646.58
22,23.0,2.0,11.0,1.0,0,8,Rawalpindi,Islamabad Electric Supply Company (IESCO),664,29839.97
7,22.0,2.0,16.0,1.0,0,8,Quetta,Quetta Electric Supply Company (QESCO),515,21631.38
21,22.0,0.0,19.0,1.0,0,7,Rawalpindi,Islamabad Electric Supply Company (IESCO),509,21317.91
23,22.0,0.0,17.0,1.0,0,9,Rawalpindi,Islamabad Electric Supply Company (IESCO),679,30704.2
23,23.0,3.0,18.0,1.0,0,4,Hyderabad,Hyderabad Electric Supply Company (HESCO),564,24191.37
23,23.0,0.0,9.0,1.0,0,4,Sialkot,Gujranwala Electric Power Company (GEPCO),412,16396.17
18,22.0,2.0,18.0,1.0,0,12,Rawalpindi,Islamabad Electric Supply Company (IESCO),468,19228.97
11,23.0,0.0,20.0,1.0,0,8,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),452,18419.6
5,21.0,3.0,17.0,1.0,0,10,Bahawalpur,Multan Electric Power Company (MEPCO),447,18166.67
13,22.0,3.0,6.0,1.0,0,10,Lahore,Lahore Electric Supply Company (LESCO),361,13919.36
14,22.0,2.0,4.0,1.0,0,2,Islamabad,Islamabad Electric Supply Company (IESCO),442,17913.74
7,20.0,0.0,18.0,1.0,0,1,Peshawar,Peshawar Electric Supply Company (PESCO),307,11330.43
15,22.0,0.0,20.0,1.0,0,10,Peshawar,Peshawar Electric Supply Company (PESCO),494,20544.2
22,22.0,3.0,17.0,1.0,0,4,Bahawalpur,Multan Electric Power Company (MEPCO),699,31856.51
6,23.0,2.0,16.0,1.0,0,6,Abbottabad,Peshawar Electric Supply Company (PESCO),549,23407.7
8,17.0,3.0,5.0,1.0,0,7,Islamabad,Islamabad Electric Supply Company (IESCO),385,15069.99
9,22.0,0.0,10.0,7.0,0,12,Lahore,Lahore Electric Supply Company (LESCO),491,20392.44
10,21.0,1.0,22.0,1.0,0,6,Sukkur,Sukkur Electric Power Company (SEPCO),646,28802.9
12,23.0,2.0,9.0,1.0,0,6,Quetta,Quetta Electric Supply Company (QESCO),546,23250.97
21,23.0,2.0,6.0,1.0,0,6,Sargodha,Faisalabad Electric Supply Company (FESCO),636,28226.74
19,22.0,0.0,10.0,12.0,0,2,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),401,15839.73
8,22.0,2.0,8.0,1.0,0,7,Sukkur,Sukkur Electric Power Company (SEPCO),360,13871.41
13,22.0,2.0,8.0,1.0,0,9,Sargodha,Faisalabad Electric Supply Company (FESCO),539,22885.25
14,22.0,2.0,6.0,12.0,0,7,Karachi,K-Electric (KE),577,24870.55
5,23.0,3.0,15.0,1.0,0,5,Lahore,Lahore Electric Supply Company (LESCO),673,30358.51
5,21.0,0.0,15.0,1.0,0,10,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),443,17964.33
11,22.0,1.0,7.0,1.0,0,11,Islamabad,Islamabad Electric Supply Company (IESCO),398,15693.25
